id,user_id,date,start,end,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10
1407,f36a523d41ef0c1a04528fea5d9b8c1d,2014-01-21,2014-01-21 17:13:47,2014-01-21 17:16:52,0,-5,0,-4,0,0,0,0,0,0,-3,-10,-9,-15,-11,-10,-3,-11,0,-8,0,0,0,-5,0,-3,0,-4,0,0
1408,1fb90f626e60b29626fd17fde2139aec,2014-01-21,2014-01-21 17:28:50,2014-01-21 17:30:46,0,0,0,0,0,-4,0,0,0,0,-15,-17,-16,-14,-17,-16,-6,-16,-13,0,-6,-11,-15,-18,-15,-15,-14,-17,-12,-17
1409,d872f1ae044c919b8d3e5f013bebc48f,2014-01-22,2014-01-22 11:40:25,2014-01-22 11:42:22,-9,-4,-7,-9,-3,-9,-10,-11,-9,-7,-10,-12,-12,-9,-11,-8,-6,-9,-7,-12,-3,-12,-11,-10,-4,-6,-9,-7,-4,-7
1414,017e4168f55c49396f209a4ba14b5bb6,2014-01-22,2014-01-22 12:31:17,2014-01-22 12:33:32,0,0,0,0,0,0,0,0,0,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
1411,ef67893a62757e184b710a73b7cb2be7,2014-01-22,2014-01-22 11:56:37,2014-01-22 11:58:29,-13,-7,-11,-4,23,0,-13,0,-14,-4,-12,-14,-14,-14,-14,-16,-16,-15,-9,-12,-13,-16,-15,-14,-7,-13,-16,-14,-13,-16
1412,99243ab921d8424804a8fb46d0c0609b,2014-01-22,2014-01-22 12:11:57,2014-01-22 12:13:35,-18,-15,-13,0,-18,-18,-20,-16,-11,-14,-13,-14,-15,-14,-18,-18,-14,-13,-14,-20,-15,-19,-18,-16,-18,-17,-18,-19,-14,-19
1410,0df85ee3ce0ff1593e029d33abba19b1,2014-01-22,2014-01-22 11:56:13,2014-01-22 11:57:55,-14,-14,-13,-14,-12,-14,-14,-14,-16,-14,-14,-13,-15,-14,-16,-14,-15,-13,-15,-11,-13,-14,-15,-13,-15,-13,-15,-14,-14,-14
1413,72324f2f499a5f6d571295c40a9d4e59,2014-01-22,2014-01-22 12:22:49,2014-01-22 12:25:04,0,0,-11,13,31,21,0,0,24,5,-15,-16,-16,-16,-13,-14,-14,-13,-15,-16,-9,-13,-15,-12,-14,-15,-13,-17,-13,-15
1415,1045c573bc4d59f1481d1c88af6aafbf,2014-01-22,2014-01-22 12:55:18,2014-01-22 12:57:02,-15,-14,-14,-14,-14,-14,-14,-14,-14,-15,-13,-14,-14,-18,-14,-13,-14,-14,-17,-15,-5,-15,-15,-8,-14,-11,-15,-15,-10,-14
1416,2cb4a08de2f8e01c319d4cdb96066ce6,2014-01-22,2014-01-22 13:10:22,2014-01-22 13:14:44,111,100,92,151,149,142,0,212,134,152,-8,-15,0,-11,-14,-14,-14,-11,0,0,5,0,0,0,0,0,0,0,0,0
1418,3446504e40d8077c1d134d0a52cb66c1,2014-01-22,2014-01-22 13:24:55,2014-01-22 13:27:12,4,2,4,4,10,0,0,-1,-4,2,-8,-9,-6,-8,-11,-10,-7,-8,0,-4,0,-4,-1,-4,0,0,0,-2,0,-6
1422,79495a3d2589e391304dc02687bab835,2014-01-22,2014-01-22 13:50:44,2014-01-22 13:53:11,0,8,4,3,5,13,5,1,2,8,-8,-6,-10,-10,-10,-14,4,-5,0,-2,9,4,2,0,7,0,0,6,0,-2
1420,a4f9f42bfa6c12f05d157587666954c8,2014-01-22,2014-01-22 13:36:32,2014-01-22 13:38:15,-6,-11,0,-5,-6,0,-13,0,0,-8,-15,-16,-9,-13,-15,-16,-16,-14,-12,-7,-16,-16,-14,-16,-14,-16,-12,-14,-17,-15
1417,b264aec91448edd6b0f0a8262edf691a,2014-01-22,2014-01-22 13:14:27,2014-01-22 13:16:30,-13,0,6,-1,10,-3,12,2,5,-1,-10,-11,-12,-12,-8,-14,-12,-10,-13,-11,-13,-6,-12,-11,-3,-11,-13,-7,-10,-14
1421,5fe2800a55904ab15db4edf5061bdb23,2014-01-22,2014-01-22 13:36:31,2014-01-22 13:38:29,0,0,0,0,0,0,0,0,-1,0,-6,-12,-13,-16,-14,-12,-13,-11,-8,-8,0,-12,-15,-12,-14,-14,-15,-14,-13,-15
1423,a0d606da691dc8bbc58b950b70eb95b0,2014-01-22,2014-01-22 15:07:56,2014-01-22 15:10:15,-5,-4,11,-4,41,-8,-11,0,5,12,-6,-12,-14,-15,-12,-15,-14,-12,-13,0,0,19,8,-11,12,0,6,0,7,-11
1430,d91c037a4b5ccfaa1f642f56549bef27,2014-01-22,2014-01-22 15:27:29,2014-01-22 15:29:57,0,0,0,3,167,3,15,0,0,0,-10,-11,-12,-12,-14,-12,-11,-9,-1,-1,-2,-7,-11,-13,-6,-10,-10,-10,0,-8
1432,caa00e504463966eef79ef6109c6c48f,2014-01-22,2014-01-22 15:30:22,2014-01-22 15:32:36,16,-12,-12,-12,27,29,-11,42,28,0,-13,-13,-13,-13,-14,-13,-14,-9,-11,-10,-9,-13,-12,-14,-12,-13,-14,-14,-14,-14
1429,0a7734f53e8d1d61f1f6b6be845ee151,2014-01-22,2014-01-22 15:23:01,2014-01-22 15:25:22,39,32,0,0,40,21,21,34,17,42,-14,-14,-14,-11,-10,-13,-14,-9,6,-13,-11,-6,-11,-10,-11,-14,-12,-15,-11,-14
1431,c6b8e329bed97182b9e70721db650863,2014-01-22,2014-01-22 15:30:18,2014-01-22 15:32:03,-7,-4,-10,-10,-9,-12,-13,-15,-9,-13,-13,-11,-13,-14,-13,-13,-14,-12,-8,-8,-13,-12,-13,-12,-10,-12,-10,-13,-13,-9
1428,d0e0ef0fc30ddf01e84780d9a8e0219c,2014-01-22,2014-01-22 15:16:55,2014-01-22 15:21:07,35,88,64,54,1,47,72,53,43,67,-13,-12,-6,-13,-12,-14,-12,-7,0,52,46,45,75,41,56,53,71,49,68,60
1424,242bcccd83ef83ef0fd95e68521be8bb,2014-01-22,2014-01-22 15:06:25,2014-01-22 15:11:08,3,4,-1,-9,16,-1,-3,1,2,4,-17,-15,-14,-15,-14,-16,-16,-14,-7,-13,-8,-11,-14,-12,-15,-14,0,-6,-2,-13
